source,target,PhyloDist,Family_source,Family_target,System_source,System_target
bg,pl,1227.32029265216,Slavic,Slavic,masc/fem/neu,masc/fem/neu
uk,pt,4407.73508072085,Slavic,Romance,masc/fem/neu,masc/fem
pl,pt,4407.36791476302,Slavic,Romance,masc/fem/neu,masc/fem
es,pt,369.504035176541,Romance,Romance,masc/fem,masc/fem
lv,pt,4407.61116670509,Baltic,Romance,masc/fem,masc/fem
da,pt,3753.52268690483,Germanic,Romance,com/neu,masc/fem
bg,pt,4407.38129531158,Slavic,Romance,masc/fem/neu,masc/fem
hi,pt,4792.9476393664,Indo-Iranian,Romance,masc/fem,masc/fem
cs,pt,4406.87198044123,Slavic,Romance,masc/fem/neu,masc/fem
sk,pt,4407.38773366079,Slavic,Romance,masc/fem/neu,masc/fem
sv,pt,3753.78032105811,Germanic,Romance,com/neu,masc/fem
nl,pt,3753.77296785374,Germanic,Romance,com/neu,masc/fem
fr,pt,770.996914111315,Romance,Romance,masc/fem,masc/fem
el,pt,4536.90072664234,Greek,Romance,masc/fem/neu,masc/fem
sl,pt,4407.58421419124,Slavic,Romance,masc/fem/neu,masc/fem
de,pt,3752.71412770694,Germanic,Romance,masc/fem/neu,masc/fem
lt,pt,4407.5094363446,Baltic,Romance,masc/fem,masc/fem
ru,pt,4407.4249096637,Slavic,Romance,masc/fem/neu,masc/fem
ro,pt,1105.98488479966,Romance,Romance,masc/fem/neu,masc/fem
ca,pt,626.235453549725,Romance,Romance,masc/fem,masc/fem
hr,pt,4407.0325109822,Slavic,Romance,masc/fem/neu,masc/fem
it,pt,906.02381055574,Romance,Romance,masc/fem,masc/fem
pt,pt,0,Romance,Romance,masc/fem,masc/fem
uk,ro,4407.37605185431,Slavic,Romance,masc/fem/neu,masc/fem/neu
sl,ro,4407.2251853247,Slavic,Romance,masc/fem/neu,masc/fem/neu
ru,ro,4407.06588079716,Slavic,Romance,masc/fem/neu,masc/fem/neu
es,ro,1105.8837323931,Romance,Romance,masc/fem,masc/fem/neu
hi,ro,4792.58861049986,Indo-Iranian,Romance,masc/fem,masc/fem/neu
ro,ro,0,Romance,Romance,masc/fem/neu,masc/fem/neu
pl,ro,4407.00888589648,Slavic,Romance,masc/fem/neu,masc/fem/neu
lv,ro,4407.25213783855,Baltic,Romance,masc/fem,masc/fem/neu
el,ro,4536.5416977758,Greek,Romance,masc/fem/neu,masc/fem/neu
sk,ro,4407.02870479425,Slavic,Romance,masc/fem/neu,masc/fem/neu
sv,ro,3753.42129219157,Germanic,Romance,com/neu,masc/fem/neu
it,ro,1105.20559710308,Romance,Romance,masc/fem,masc/fem/neu
fr,ro,1104.02537841206,Romance,Romance,masc/fem,masc/fem/neu
pt,ro,1105.98488479966,Romance,Romance,masc/fem,masc/fem/neu
bg,ro,4407.02226644504,Slavic,Romance,masc/fem/neu,masc/fem/neu
lt,ro,4407.15040747806,Baltic,Romance,masc/fem,masc/fem/neu
nl,ro,3753.4139389872,Germanic,Romance,com/neu,masc/fem/neu
de,ro,3752.3550988404,Germanic,Romance,masc/fem/neu,masc/fem/neu
da,ro,3753.1636580383,Germanic,Romance,com/neu,masc/fem/neu
cs,ro,4406.51295157469,Slavic,Romance,masc/fem/neu,masc/fem/neu
ca,ro,1105.81563919002,Romance,Romance,masc/fem,masc/fem/neu
hr,ro,4406.67348211566,Slavic,Romance,masc/fem/neu,masc/fem/neu
nl,ru,4406.9001549305,Germanic,Slavic,com/neu,masc/fem/neu
pl,ru,727.9668413265,Slavic,Slavic,masc/fem/neu,masc/fem/neu
uk,ru,599.297606538595,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sl,ru,1227.58020643249,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hi,ru,4792.58157859901,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
lt,ru,2457.40078254651,Baltic,Slavic,masc/fem,masc/fem/neu
es,ru,4407.32375725714,Romance,Slavic,masc/fem,masc/fem/neu
ru,ru,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,ru,4406.90750813486,Germanic,Slavic,com/neu,masc/fem/neu
da,ru,4406.64987398159,Germanic,Slavic,com/neu,masc/fem/neu
sk,ru,727.98666022427,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,ru,4405.4654032761,Romance,Slavic,masc/fem,masc/fem/neu
el,ru,4536.53466587495,Greek,Slavic,masc/fem/neu,masc/fem/neu
cs,ru,727.470907004705,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lv,ru,2457.50251290699,Baltic,Slavic,masc/fem,masc/fem/neu
ro,ru,4407.06588079716,Romance,Slavic,masc/fem/neu,masc/fem/neu
de,ru,4405.8413147837,Germanic,Slavic,masc/fem/neu,masc/fem/neu
ca,ru,4407.25566405406,Romance,Slavic,masc/fem,masc/fem/neu
hr,ru,1227.02850322345,Slavic,Slavic,masc/fem/neu,masc/fem/neu
it,ru,4406.64562196712,Romance,Slavic,masc/fem,masc/fem/neu
pt,ru,4407.4249096637,Romance,Slavic,masc/fem,masc/fem/neu
bg,ru,1227.37728755284,Slavic,Slavic,masc/fem/neu,masc/fem/neu
uk,sl,1227.89037748964,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sk,sl,1227.54303042959,Slavic,Slavic,masc/fem/neu,masc/fem/neu
bg,sl,820.785664859035,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hr,sl,820.43688052965,Slavic,Slavic,masc/fem/neu,masc/fem/neu
da,sl,4406.80917850912,Germanic,Slavic,com/neu,masc/fem/neu
hi,sl,4792.74088312654,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
pl,sl,1227.52321153181,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,sl,4407.48306178468,Romance,Slavic,masc/fem,masc/fem/neu
cs,sl,1227.02727721002,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,sl,4407.0668126624,Germanic,Slavic,com/neu,masc/fem/neu
nl,sl,4407.05945945804,Germanic,Slavic,com/neu,masc/fem/neu
sl,sl,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,sl,4406.00061931123,Germanic,Slavic,masc/fem/neu,masc/fem/neu
el,sl,4536.69397040249,Greek,Slavic,masc/fem/neu,masc/fem/neu
lt,sl,2457.56008707404,Baltic,Slavic,masc/fem,masc/fem/neu
ru,sl,1227.58020643249,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,sl,4405.62470780363,Romance,Slavic,masc/fem,masc/fem/neu
lv,sl,2457.66181743453,Baltic,Slavic,masc/fem,masc/fem/neu
ro,sl,4407.2251853247,Romance,Slavic,masc/fem/neu,masc/fem/neu
ca,sl,4407.4149685816,Romance,Slavic,masc/fem,masc/fem/neu
it,sl,4406.80492649466,Romance,Slavic,masc/fem,masc/fem/neu
pt,sl,4407.58421419124,Romance,Slavic,masc/fem,masc/fem/neu
hi,sk,4792.5444025961,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
ro,sk,4407.02870479425,Romance,Slavic,masc/fem/neu,masc/fem/neu
pl,sk,646.18874638395,Slavic,Slavic,masc/fem/neu,masc/fem/neu
el,sk,4536.49748987205,Greek,Slavic,masc/fem/neu,masc/fem/neu
sk,sk,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
nl,sk,4406.86297892759,Germanic,Slavic,com/neu,masc/fem/neu
cs,sk,268.048898824021,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lt,sk,2457.3636065436,Baltic,Slavic,masc/fem,masc/fem/neu
pt,sk,4407.38773366079,Romance,Slavic,masc/fem,masc/fem/neu
es,sk,4407.28658125424,Romance,Slavic,masc/fem,masc/fem/neu
ca,sk,4407.21848805116,Romance,Slavic,masc/fem,masc/fem/neu
lv,sk,2457.46533690409,Baltic,Slavic,masc/fem,masc/fem/neu
uk,sk,728.29683128142,Slavic,Slavic,masc/fem/neu,masc/fem/neu
da,sk,4406.61269797868,Germanic,Slavic,com/neu,masc/fem/neu
sv,sk,4406.87033213196,Germanic,Slavic,com/neu,masc/fem/neu
it,sk,4406.60844596422,Romance,Slavic,masc/fem,masc/fem/neu
sl,sk,1227.54303042959,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,sk,4405.8041387808,Germanic,Slavic,masc/fem/neu,masc/fem/neu
ru,sk,727.98666022427,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,sk,4405.4282272732,Romance,Slavic,masc/fem,masc/fem/neu
hr,sk,1226.99132722054,Slavic,Slavic,masc/fem/neu,masc/fem/neu
bg,sk,1227.34011154993,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,es,0,Romance,Romance,masc/fem,masc/fem
uk,es,4407.6339283143,Slavic,Romance,masc/fem/neu,masc/fem
sv,es,3753.67916865155,Germanic,Romance,com/neu,masc/fem
fr,es,770.89576170476,Romance,Romance,masc/fem,masc/fem
cs,es,4406.77082803468,Slavic,Romance,masc/fem/neu,masc/fem
lv,es,4407.51001429853,Baltic,Romance,masc/fem,masc/fem
sl,es,4407.48306178468,Slavic,Romance,masc/fem/neu,masc/fem
de,es,3752.61297530039,Germanic,Romance,masc/fem/neu,masc/fem
sk,es,4407.28658125424,Slavic,Romance,masc/fem/neu,masc/fem
ro,es,1105.8837323931,Romance,Romance,masc/fem/neu,masc/fem
pl,es,4407.26676235646,Slavic,Romance,masc/fem/neu,masc/fem
hr,es,4406.93135857564,Slavic,Romance,masc/fem/neu,masc/fem
ru,es,4407.32375725714,Slavic,Romance,masc/fem/neu,masc/fem
ca,es,626.134301143165,Romance,Romance,masc/fem,masc/fem
pt,es,369.504035176541,Romance,Romance,masc/fem,masc/fem
bg,es,4407.28014290503,Slavic,Romance,masc/fem/neu,masc/fem
hi,es,4792.84648695983,Indo-Iranian,Romance,masc/fem,masc/fem
nl,es,3753.67181544719,Germanic,Romance,com/neu,masc/fem
el,es,4536.79957423579,Greek,Romance,masc/fem/neu,masc/fem
da,es,3753.42153449827,Germanic,Romance,com/neu,masc/fem
lt,es,4407.40828393804,Baltic,Romance,masc/fem,masc/fem
it,es,905.922658149185,Romance,Romance,masc/fem,masc/fem
sv,ca,3753.61107544847,Germanic,Romance,com/neu,masc/fem
el,ca,4536.73148103271,Greek,Romance,masc/fem/neu,masc/fem
sl,ca,4407.4149685816,Slavic,Romance,masc/fem/neu,masc/fem
ro,ca,1105.81563919002,Romance,Romance,masc/fem/neu,masc/fem
sk,ca,4407.21848805116,Slavic,Romance,masc/fem/neu,masc/fem
hi,ca,4792.77839375676,Indo-Iranian,Romance,masc/fem,masc/fem
pl,ca,4407.19866915339,Slavic,Romance,masc/fem/neu,masc/fem
uk,ca,4407.56583511122,Slavic,Romance,masc/fem/neu,masc/fem
nl,ca,3753.60372224411,Germanic,Romance,com/neu,masc/fem
da,ca,3753.35344129519,Germanic,Romance,com/neu,masc/fem
lt,ca,4407.34019073497,Baltic,Romance,masc/fem,masc/fem
ru,ca,4407.25566405406,Slavic,Romance,masc/fem/neu,masc/fem
fr,ca,770.82766850168,Romance,Romance,masc/fem,masc/fem
es,ca,626.134301143165,Romance,Romance,masc/fem,masc/fem
cs,ca,4406.7027348316,Slavic,Romance,masc/fem/neu,masc/fem
lv,ca,4407.44192109545,Baltic,Romance,masc/fem,masc/fem
ca,ca,0,Romance,Romance,masc/fem,masc/fem
hr,ca,4406.86326537256,Slavic,Romance,masc/fem/neu,masc/fem
it,ca,905.854564946105,Romance,Romance,masc/fem,masc/fem
pt,ca,626.235453549725,Romance,Romance,masc/fem,masc/fem
bg,ca,4407.21204970195,Slavic,Romance,masc/fem/neu,masc/fem
de,ca,3752.54488209731,Germanic,Romance,masc/fem/neu,masc/fem
lv,fr,4405.65166031749,Baltic,Romance,masc/fem,masc/fem
es,fr,770.89576170476,Romance,Romance,masc/fem,masc/fem
cs,fr,4404.91247405363,Slavic,Romance,masc/fem/neu,masc/fem
ro,fr,1104.02537841206,Romance,Romance,masc/fem/neu,masc/fem
da,fr,3751.56318051723,Germanic,Romance,com/neu,masc/fem
pl,fr,4405.40840837543,Slavic,Romance,masc/fem/neu,masc/fem
lt,fr,4405.54992995699,Baltic,Romance,masc/fem,masc/fem
ru,fr,4405.4654032761,Slavic,Romance,masc/fem/neu,masc/fem
bg,fr,4405.42178892398,Slavic,Romance,masc/fem/neu,masc/fem
sv,fr,3751.82081467051,Germanic,Romance,com/neu,masc/fem
uk,fr,4405.77557433325,Slavic,Romance,masc/fem/neu,masc/fem
hi,fr,4790.98813297879,Indo-Iranian,Romance,masc/fem,masc/fem
nl,fr,3751.81346146614,Germanic,Romance,com/neu,masc/fem
sk,fr,4405.4282272732,Slavic,Romance,masc/fem/neu,masc/fem
el,fr,4534.94122025474,Greek,Romance,masc/fem/neu,masc/fem
sl,fr,4405.62470780363,Slavic,Romance,masc/fem/neu,masc/fem
de,fr,3750.75462131934,Germanic,Romance,masc/fem/neu,masc/fem
fr,fr,0,Romance,Romance,masc/fem,masc/fem
ca,fr,770.82766850168,Romance,Romance,masc/fem,masc/fem
hr,fr,4405.07300459459,Slavic,Romance,masc/fem/neu,masc/fem
it,fr,904.06430416814,Romance,Romance,masc/fem,masc/fem
pt,fr,770.996914111315,Romance,Romance,masc/fem,masc/fem
pl,de,4405.78431988303,Slavic,Germanic,masc/fem/neu,masc/fem/neu
sl,de,4406.00061931123,Slavic,Germanic,masc/fem/neu,masc/fem/neu
de,de,0,Germanic,Germanic,masc/fem/neu,masc/fem/neu
cs,de,4405.28838556123,Slavic,Germanic,masc/fem/neu,masc/fem/neu
lt,de,4405.92584146459,Baltic,Germanic,masc/fem,masc/fem/neu
ru,de,4405.8413147837,Slavic,Germanic,masc/fem/neu,masc/fem/neu
ca,de,3752.54488209731,Romance,Germanic,masc/fem,masc/fem/neu
fr,de,3750.75462131934,Romance,Germanic,masc/fem,masc/fem/neu
pt,de,3752.71412770694,Romance,Germanic,masc/fem,masc/fem/neu
ro,de,3752.3550988404,Romance,Germanic,masc/fem/neu,masc/fem/neu
es,de,3752.61297530039,Romance,Germanic,masc/fem,masc/fem/neu
uk,de,4406.15148584085,Slavic,Germanic,masc/fem/neu,masc/fem/neu
da,de,1668.22908139081,Germanic,Germanic,com/neu,masc/fem/neu
sk,de,4405.8041387808,Slavic,Germanic,masc/fem/neu,masc/fem/neu
hi,de,4791.36404448639,Indo-Iranian,Germanic,masc/fem,masc/fem/neu
sv,de,1668.48671554409,Germanic,Germanic,com/neu,masc/fem/neu
nl,de,1386.77341544442,Germanic,Germanic,com/neu,masc/fem/neu
el,de,4535.31713176234,Greek,Germanic,masc/fem/neu,masc/fem/neu
lv,de,4406.02757182509,Baltic,Germanic,masc/fem,masc/fem/neu
hr,de,4405.44891610219,Slavic,Germanic,masc/fem/neu,masc/fem/neu
it,de,3751.93484001036,Romance,Germanic,masc/fem,masc/fem/neu
bg,de,4405.79770043158,Slavic,Germanic,masc/fem/neu,masc/fem/neu
de,sv,1668.48671554409,Germanic,Germanic,masc/fem/neu,com/neu
uk,sv,4407.21767919201,Slavic,Germanic,masc/fem/neu,com/neu
sl,sv,4407.0668126624,Slavic,Germanic,masc/fem/neu,com/neu
hi,sv,4792.43023783756,Indo-Iranian,Germanic,masc/fem,com/neu
ru,sv,4406.90750813486,Slavic,Germanic,masc/fem/neu,com/neu
el,sv,4536.3833251135,Greek,Germanic,masc/fem/neu,com/neu
cs,sv,4406.35457891239,Slavic,Germanic,masc/fem/neu,com/neu
lv,sv,4407.09376517625,Baltic,Germanic,masc/fem,com/neu
ro,sv,3753.42129219157,Romance,Germanic,masc/fem/neu,com/neu
pl,sv,4406.85051323419,Slavic,Germanic,masc/fem/neu,com/neu
da,sv,497.60771332615,Germanic,Germanic,com/neu,com/neu
lt,sv,4406.99203481576,Baltic,Germanic,masc/fem,com/neu
hr,sv,4406.51510945336,Slavic,Germanic,masc/fem/neu,com/neu
it,sv,3753.00103336153,Romance,Germanic,masc/fem,com/neu
pt,sv,3753.78032105811,Romance,Germanic,masc/fem,com/neu
sv,sv,0,Germanic,Germanic,com/neu,com/neu
nl,sv,1669.54555569089,Germanic,Germanic,com/neu,com/neu
fr,sv,3751.82081467051,Romance,Germanic,masc/fem,com/neu
es,sv,3753.67916865155,Romance,Germanic,masc/fem,com/neu
bg,sv,4406.86389378275,Slavic,Germanic,masc/fem/neu,com/neu
sk,sv,4406.87033213196,Slavic,Germanic,masc/fem/neu,com/neu
ca,sv,3753.61107544847,Romance,Germanic,masc/fem,com/neu
sk,uk,728.29683128142,Slavic,Slavic,masc/fem/neu,masc/fem/neu
pl,uk,728.27701238365,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,uk,4407.21767919201,Germanic,Slavic,com/neu,masc/fem/neu
da,uk,4406.96004503874,Germanic,Slavic,com/neu,masc/fem/neu
hi,uk,4792.89174965616,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
cs,uk,727.78107806186,Slavic,Slavic,masc/fem/neu,masc/fem/neu
bg,uk,1227.68745860999,Slavic,Slavic,masc/fem/neu,masc/fem/neu
nl,uk,4407.21032598765,Germanic,Slavic,com/neu,masc/fem/neu
hr,uk,1227.3386742806,Slavic,Slavic,masc/fem/neu,masc/fem/neu
el,uk,4536.8448369321,Greek,Slavic,masc/fem/neu,masc/fem/neu
lt,uk,2457.71095360366,Baltic,Slavic,masc/fem,masc/fem/neu
sl,uk,1227.89037748964,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,uk,4407.6339283143,Romance,Slavic,masc/fem,masc/fem/neu
ru,uk,599.297606538595,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,uk,4405.77557433325,Romance,Slavic,masc/fem,masc/fem/neu
lv,uk,2457.81268396414,Baltic,Slavic,masc/fem,masc/fem/neu
ro,uk,4407.37605185431,Romance,Slavic,masc/fem/neu,masc/fem/neu
ca,uk,4407.56583511122,Romance,Slavic,masc/fem,masc/fem/neu
it,uk,4406.95579302428,Romance,Slavic,masc/fem,masc/fem/neu
pt,uk,4407.73508072085,Romance,Slavic,masc/fem,masc/fem/neu
de,uk,4406.15148584085,Germanic,Slavic,masc/fem/neu,masc/fem/neu
uk,uk,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
